date,daily_tests,daily_cases,cumul_tests,cumul_cases,hospitalized,icu,daily_deceased,cumul_deceased,daily_released,cumul_released,daily_vld,daily_wal,daily_bru,cumul_vld,cumul_wal,cumul_bru,daily_deceased_wal,daily_deceased_bru,daily_deceased_vld
01/03/2020,,2,0,2,,,,,,,,,,,,,,,
02/03/2020,,6,0,8,,,,,,,,,,,,,,,
03/03/2020,243,5,243,13,,,,,,,,,,,,,,,
04/03/2020,495,10,738,23,,,,,,,,,,,,,,,
05/03/2020,,27,738,50,,,,,,,,,,,,,,,
06/03/2020,441,59,1179,109,,,,,,,,,,,,,,,
07/03/2020,771,60,1950,169,,,,,,,,,,,,,,,
08/03/2020,422,31,2372,200,,,,,,,,,,,,,,,
09/03/2020,334,39,2706,239,,,,,,,,,,,,,,,
10/03/2020,443,28,3149,267,,20,,,,,,,,,,,,,
11/03/2020,639,47,3788,314,,,3,3,,,,,,,,,,1,
12/03/2020,806,85,4594,399,,,0,3,,,,,,,,,,2,
13/03/2020,,160,8761,559,,,0,3,,,,,,,,,,1,
14/03/2020,1739,133,10500,689,97,24,1,4,,,179,90,13,433,174,71,,2,
15/03/2020,2550,197,13050,886,163,33,0,4,,,137,28,27,570,202,98,,3,
16/03/2020,1279,172,14329,1058,252,53,1,5,,,80,68,17,650,270,115,,2,1
17/03/2020,1671,185,16000,1243,361,79,5,10,14,14,106,38,33,756,303,153,4,3,
18/03/2020,2360,243,18360,1486,496,100,4,14,31,45,133,66,41,889,369,194,2,3,
19/03/2020,1640,309,20000,1795,634,130,7,21,51,96,145,95,48,1034,464,242,4,7,
20/03/2020,3423,462,23423,2257,837,164,16,37,48,144,302,90,43,1336,554,285,11,5,3
21/03/2020,2577,558,26000,2815,1089,238,30,67,58,202,292,200,50,1628,754,335,8,5,4
22/03/2020,,586,,3401,1380,290,8,75,76,278,412,99,70,2040,853,405,10,1,7
23/03/2020,,342,,3743,1643,322,13,88,61,339,173,118,45,2213,971,450,6,4,7
24/03/2020,,526,,4269,1859,381,34,122,60,399,381,87,38,2594,1058,488,23,9,23
25/03/2020,,668,,4937,2152,474,56,178,115,514,429,176,57,3023,1234,545,22,3,23
26/03/2020,,1298,,6235,2652,605,42,220,128,642,857,256,164,3880,1490,709,21,6,30
27/03/2020,2802,1049,40718,7284,3042,690,69,289,183,825,772,131,137,4652,1621,846,4,4,12
28/03/2020,,1850,,9134,3717,789,64,353,205,1030,823,875,134,5475,2496,980,,,
29/03/2020,,1702,,10836,4138,867,78,431,296,1359,906,691,85,6381,3187,1065,,,
30/03/2020,,1063,,11899,4524,927,82,513,168,1527,683,164,198,7064,3351,1263,,,
31/03/2020,2500,876,52072,12775,4920,1021,98,705,168,1696,467,203,189,7531,3554,1452,,,
